S. No.,Registration No,Pharmacy Name,District,Pranali,Prescription Type,Wholesale/Retail
1958,3.74101E+12,BIBAS PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1959,3.74101E+12,SEHENSHA MEDICO PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1960,3.74101E+12,KANGMEI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1961,3.74101E+12,LALIGURANS PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1962,3.74101E+12,WELFIND MEDICAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1963,3.74101E+12,MEDSTAR POLYCLINIC PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
1964,3.74101E+12,FLORA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1965,3.74101E+12,FITNESS PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1966,3.74102E+12,SIRANCHOWK PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1967,3.74102E+12,LOLANG PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1968,3.74102E+12,GESTIN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1969,3.74102E+12,ADISHREE PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1970,3.74102E+12,BRIHAT PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1971,3.74102E+12,AARASEE PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1972,3.74102E+12,NIWARAN MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1973,3.74102E+12,HEALTHSQUARE PHARMACY PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
1974,3.74103E+12,AADITYA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1975,3.74103E+12,PRANSHU PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1976,3.74103E+12,Atut pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
1977,3.74103E+12,KRISTAL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1978,3.7411E+12,ALIF PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1979,3.7411E+12,Trendz Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
1980,3.7411E+12,BUKRINI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1981,3.7411E+12,MANOMAY PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1982,3.74111E+12,sibisa pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
1983,3.74111E+12,NISHESH PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1984,3.74111E+12,PRATIPHAL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1985,3.74111E+12,MANMOHAN MEMORIAL MEDICAL COLLEGE AND TEACHING HOSPITAL PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
1986,3.74111E+12,VISION POLYCLINIC PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
1987,3.74112E+12,PHARHA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1988,3.74112E+12,KAVRESTHALI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1989,3.74112E+12,CIWEC PHARMACY PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
1990,3.74112E+12,DENAGARIK MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1991,3.74112E+12,JOYASH PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1992,3.74112E+12,LOMUS PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1993,3.74112E+12,Kathmandu Life Care Pharmacy Pvt Ltd Pharmacy Unit,Kathmandu,ALLOPATHY,"A,B,C",Retail
1994,3.74113E+12,LUPIN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1995,3.74113E+12,SHASHI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1996,3.74113E+12,THAKURI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
1997,3.74113E+12,EMRIKA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
1998,3.7412E+12,SHAILENDRA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
1999,3.7412E+12,NIRMUL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2000,3.7412E+12,BHINTUNA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2001,3.74121E+12,SARWOTKRISHTA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2002,3.74121E+12,SAKSHI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2003,3.74121E+12,PALUBARI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2004,3.74121E+12,Swapntirtha Medical Hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
2005,3.74121E+12,ANJALI MEDICAL HALL PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2006,3.74121E+12,AASHISH PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2007,3.74121E+12,AROGIN HEALTH CARE PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2008,3.74122E+12,SHWET BARAHI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2009,3.74122E+12,RAMAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2010,3.74122E+12,S N H PHARMACIA PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2011,3.74122E+12,AKALADEVI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2012,3.74122E+12,KULESHWOR MEDI MART PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2013,3.74122E+12,PIRATI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2014,3.74122E+12,TILAK PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2015,3.74122E+12,SASKRITI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2016,3.74123E+12,KALINGA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2017,3.74123E+12,PANCHAKOT MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2018,3.74123E+12,ECHCHHA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2019,3.7501E+12,natural medical hall,Kathmandu,ALLOPATHY,"A,B,C",Retail
2020,3.75011E+12,yaangkhim pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2021,3.75011E+12,CHHAHARI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2022,3.75011E+12,BAKRASHOWARI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2023,3.75011E+12,KANAKASUNDARI MEDCAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2024,3.75011E+12,SURYANSHU PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2025,3.75011E+12,ANIBAREYA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2026,3.75011E+12,RIYANSU PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2027,3.75012E+12,BASUKI POLYCLINIC AND DIAGNOSTIC CENTER PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2028,3.75012E+12,KUSH HEALTH CARE PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2029,3.75012E+12,INCHAL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2030,3.75012E+12,SUKADEV PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2031,3.75013E+12,MEECHA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2032,3.75013E+12,SANKHADOL MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2033,3.75013E+12,PARITOSH PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2034,3.75013E+12,VENISSA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2035,3.7502E+12,SUGHYANI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2036,3.7502E+12,SALISHMA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2037,3.7502E+12,AASHRIT PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2038,3.75021E+12,ARPITA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2039,3.75021E+12,KABIR PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2040,3.75021E+12,Twenty Four Seven Health and Beauty Pvt Ltd Pharmacy unit,Kathmandu,ALLOPATHY,"A,B,C",Retail
2041,3.75022E+12,SUNSHINE PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2042,3.75022E+12,Heritage pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2043,3.75022E+12,sam and son's drug center,Kathmandu,ALLOPATHY,"A,B,C",Retail
2044,3.75022E+12,PANCHPOKHARI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2045,3.75022E+12,SANO GAUCHARAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2046,3.75022E+12,VEEDHAPHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2047,3.75022E+12,SINDHUPALCHOK MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2048,3.75022E+12,SEVEN TO SEVEN PHARMACY PVT LTD PHARMACY UNIT BRANCH,Kathmandu,ALLOPATHY,"A,B,C",Retail
2049,3.75022E+12,TIMILA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2050,3.75022E+12,DEEPIKA MEDICAL CONCERN,Kathmandu,ALLOPATHY,"A,B,C",Retail
2051,3.75022E+12,BHUMULU AJIMA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2052,3.75022E+12,SAPTAGANDAKI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2053,3.75022E+12,BHESHIKA MEDIKO PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2054,3.75023E+12,TOPHA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2055,3.75023E+12,RESHRAJ PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2056,3.75023E+12,BOONE PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2057,3.75023E+12,ORJIT PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2058,3.75023E+12,NILSOM PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2059,3.75023E+12,KALPANA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2060,3.7503E+12,YUKISHA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2061,3.7503E+12,DHIRAJ PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2062,3.7503E+12,sirithiya pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2063,3.7503E+12,MING PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2064,3.7503E+12,HEALTHY SMILE OMKAR DENTAL HOME PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2065,3.75031E+12,SADAIBA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2066,3.75031E+12,SINGHABAHINI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2067,3.75031E+12,MEEGIN MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2068,3.75031E+12,MARK PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2069,3.75031E+12,BANKE BARDIYA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2070,3.75031E+12,MANAVI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2071,3.75031E+12,GHALE PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2072,3.75031E+12,BICHOUR PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2073,3.75031E+12,NAKUL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2074,3.75031E+12,RELOAD PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2075,3.75032E+12,JHAGAJHOLI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2076,3.75033E+12,JHULI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2077,3.75033E+12,Ansari Pharmacia,Kathmandu,ALLOPATHY,"A,B,C",Retail
2078,3.75033E+12,KULUNG MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2079,3.75033E+12,PANCHAJANYA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2080,3.75033E+12,Ghantaghar Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2081,3.75033E+12,Jaykalika pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2082,3.7504E+12,EVERYDAY PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2083,3.7504E+12,SURIYA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2084,3.7504E+12,AONE PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2085,3.7504E+12,AARUMA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2086,3.7504E+12,BISHNUPRIYA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2087,3.7504E+12,SHABIKA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2088,3.7504E+12,ACHRYA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2089,3.7504E+12,ONLINE HEALTH CARE PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2090,3.75041E+12,NIJAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2091,3.75041E+12,PRASNA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2092,3.75041E+12,SAPTARISHI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2093,3.75041E+12,M G POLICLINIC AND DIAGONESTIC CENTER PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2094,3.75041E+12,GODHULI PHARMAcy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2095,3.75041E+12,EXTRA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2096,3.75041E+12,EXPERT PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2097,3.75041E+12,NATION PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2098,3.75041E+12,MALLA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2099,3.75041E+12,SITARA PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2100,3.75041E+12,OMKARESHWOR PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2101,3.75041E+12,DURGAMAA PHAMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2102,3.75041E+12,SUPAD PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2103,3.75041E+12,NET MEDS PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2104,3.75041E+12,BIKURA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2105,3.75042E+12,MEDICLOCK MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2106,3.75042E+12,SARBAMANI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2107,3.75042E+12,Nath Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
2108,3.75042E+12,DIAMOND POLYCLINIC PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2109,3.75042E+12,CHAITANIYA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2110,3.75042E+12,RIDHU PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2111,3.75042E+12,SHREYAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2112,3.75042E+12,SHUSWASTHYA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2113,3.75042E+12,DEVIKA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2114,3.75043E+12,AZIB PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2115,3.75043E+12,PLANNING MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2116,3.75043E+12,Apotheke Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2117,3.75043E+12,KASHISHWOR PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2118,3.75043E+12,SAKCHYAM PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2119,3.75043E+12,PUKAR PHARMACIA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2120,3.75043E+12,VATSALYA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2121,3.75043E+12,SAJIWANI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2122,3.75043E+12,DHORPATAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2123,3.7505E+12,REFRESH PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2124,3.75051E+12,BETTER LIFE PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2125,3.75051E+12,hardik pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2126,3.75051E+12,KALKSHEKOTI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2127,3.75051E+12,RUBINA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2128,3.75051E+12,PRABHAT PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2129,3.75051E+12,DHURBATARA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2130,3.75051E+12,SAMUDAIK SWASTHYA SEWA PARISHAD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2131,3.75051E+12,BHUPISA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2132,3.75051E+12,KRIBESA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2133,3.75051E+12,KABIRAM PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2134,3.75051E+12,clover pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2135,3.75051E+12,Cardinal Health Foundation Pvt Pvt Pharmacy Unit,Kathmandu,ALLOPATHY,"A,B,C",Retail
2136,3.75051E+12,TARKESHWOR PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2137,3.75051E+12,PADMAPANI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2138,3.75051E+12,Folliderm Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2139,3.75052E+12,PRAKASH PHARMACIA PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2140,3.75052E+12,YUJAL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2141,3.75052E+12,GENERIC PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2142,3.75052E+12,CURE MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2143,3.75052E+12,KAROLINA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2144,3.75052E+12,SHIVAJI PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2145,3.75053E+12,DREAM LIFE PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2146,3.75053E+12,TRIGUN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2147,3.75053E+12,RENIT PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2148,3.75053E+12,PRIYASHA MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2149,3.7506E+12,MANKA WASA PASA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2150,3.7506E+12,JIYANA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2151,3.75061E+12,dipina pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2152,3.75061E+12,Mart Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
2153,3.75061E+12,NIRMALBHUMI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2154,3.75061E+12,PRIYADARSHAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2155,3.75061E+12,MALARANI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2156,3.75061E+12,ESSENTIAL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2157,3.75061E+12,NIKISHA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2158,3.75061E+12,KANTIPUR HOSPITAL PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2159,3.75061E+12,ASHOKBINAYAK PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2160,3.75061E+12,SAMRAT POLYCLINIC PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2161,3.75062E+12,BANGEMUDHA AAUSHADHALAYA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2162,3.75062E+12,arshu pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2163,3.75062E+12,JEET MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2164,3.75062E+12,ANIL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2165,3.75062E+12,NEURO PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2166,3.75062E+12,LAVISH PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2167,3.75062E+12,NOVANT DIAGNO HEALTH CARE PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2168,3.75063E+12,AAJUBHAIRAB PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2169,3.75063E+12,SAMIK PHARMACY PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2170,3.75071E+12,ORUS PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2171,3.75071E+12,Diraj Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2172,3.75071E+12,Niko Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2173,3.75071E+12,EVIK MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2174,3.75072E+12,SAANA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2175,3.75072E+12,BIRASANA GORKHALI MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2176,3.75073E+12,Nirosh Pharma,Kathmandu,ALLOPATHY,"A,B,C",Retail
2177,3.75073E+12,BOGAIT PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2178,3.7508E+12,Sambhavi Pharmacy,Kathmandu,ALLOPATHY,"A,B,C",Retail
2179,3.7508E+12,MANMAGAN MEDICO,Kathmandu,ALLOPATHY,"A,B,C",Retail
2180,3.7508E+12,NITESH PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2181,3.75081E+12,PAARTH PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2182,3.75081E+12,MEDICARE PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2183,3.75081E+12,GOODDAY PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2184,3.75081E+12,JALKESHWOR PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2185,3.75081E+12,ZYDUS PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2186,3.75081E+12,UNIVARSAL MEDICINE CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
2187,3.75081E+12,Med Dent Nepal pvt. ltd. Pharmacy unit,Kathmandu,ALLOPATHY,"A,B,C",Retail
2188,3.75081E+12,upachar PHARMACY pra ltd pharmacy unit,Kathmandu,ALLOPATHY,"A,B,C",Retail
2189,3.75081E+12,SAROJ MEDICAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2190,3.75081E+12,SUBHODAYAM MEDICAL HALL,Kathmandu,ALLOPATHY,"A,B,C",Retail
2191,3.75082E+12,PSN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2192,3.75082E+12,AKHIL PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2193,3.75082E+12,SURYAMUKHI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2194,3.75082E+12,REYAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2195,3.75082E+12,JUSTICE PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2196,3.75082E+12,RIDAYA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2197,3.75082E+12,SHAHJEE PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2198,3.75082E+12,SHREECHANDRAVINAYAK PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2199,3.75083E+12,OXYGEN NATIONAL MEDICAL HOUSE,Kathmandu,ALLOPATHY,"A,B,C",Retail
2200,3.7509E+12,KRIJAN HAMRO PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2201,3.7509E+12,GAUNBESHI PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2202,3.7509E+12,MANSARA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2203,3.75091E+12,DIRGHALAAV PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2204,3.75091E+12,NIDAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2205,3.75091E+12,MEDIGREEN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2206,3.75091E+12,MEDMANDU PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2207,3.75091E+12,GREESHA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2208,3.75091E+12,KRISHNARPAN PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2209,3.75091E+12,GYAMAN MEDICAL CENTER,Kathmandu,ALLOPATHY,"A,B,C",Retail
2210,3.75091E+12,M N PHARMACY PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2211,3.75091E+12,ANWESHA PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2212,3.75092E+12,TECMED PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2213,3.75092E+12,HEALTHYPLUS PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2214,3.75092E+12,AASHRA COSMODERMA PHARMA PVT LTD PHARMACY UNIT,Kathmandu,ALLOPATHY,"A,B,C",Retail
2215,3.75092E+12,PRASURAS PHARMA,Kathmandu,ALLOPATHY,"A,B,C",Retail
2216,3.75092E+12,MEDIXPRESS PHARMACY,Kathmandu,ALLOPATHY,"A,B,C",Retail
2217,3.75092E+12,MONALIKA AUSHADHI PASAL,Kathmandu,ALLOPATHY,"A,B,C",Retail
